KEY|ENGLISH|NOTES|GERMAN|FRENCH|ITALIAN|SPANISH|PORTUGUESE|PORTUGUESE BR|POLISH|RUSSIAN|DANISH|DUTCH|SWEDISH|NORWEGIAN|HUNGARIAN|FINNISH|

ACTION.JOB.CLEAR_GROUND|Clearing {{targetPlant}}|E.g. “Clearing shrub”|Entfernt {{plantDescription}}|Arrachant : {{plantDescription}}|Sta rimuovendo: {{plantDescription}}|Eliminando {{plantDescription}}|Limpar {{plantDescription}}|Retirando {{targetPlant}}|Usuwanie {{plantDescription}}|Расчищает: {{plantDescription}}|||||||
ACTION.JOB.CONSTRUCT_FURNITURE|{{profession.verb}} {{targetDescription}}|E.g. “Crafting furniture”|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|||||||
ACTION.JOB.DECONSTRUCT|Removing {{targetDescription}}|E.g. “Removing stone wall” “Removing wooden wall”|Baut {{targetDescription}} ab|Retirant : {{targetDescription}}|Sta rimuovendo: {{targetDescription}}|Quitando {{targetDescription}}|A remover {{targetDescription}}|Removendo {{targetDescription}}|Usuwa {{targetDescription}}|Удаляет: {{targetDescription}}|||||||
ACTION.JOB.GENERIC|{{profession.verb}} {{targetDescription}}|E.g. “Smelting iron ore”, “Crafting wooden planks”|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|||||||
ACTION.JOB.HARVESTING|Harvesting {{targetPlant}}||Erntet {{targetPlant}}|Récoltant : {{targetPlant}}|Sta raccogliendo: {{targetPlant}}|Cosechando {{targetPlant}}|A colher {{targetPlant}}|Colhendo {{targetPlant}}|Zbiera {{targetPlant}}|Собирает: {{targetPlant}}|||||||
ACTION.JOB.LOGGING|{{profession.verb}} {{targetPlant}}||{{profession.verb}} {{targetPlant}}|{{profession.verb}} : {{targetPlant}}|{{profession.verb}}: {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|||||||
ACTION.JOB.PLANTING|Planting {{requiredItem}}||Pflanzt {{requiredItem}}|Plantant : {{requiredItem}}|Sta piantando: {{requiredItem}}|Colocando {{requiredItem}}|A plantar {{requiredItem}}|Plantando {{requiredItem}}|Sadzi {{requiredItem}}|Сажает: {{requiredItem}}|||||||
ACTION.JOB.REMOVE_PESTS_FROM_CROP|Removing pests from {{targetPlant}}||Entfernt Schädlinge von {{targetPlant}}|Désinsectisant : {{targetPlant}}|Sta disinfestando: {{targetPlant}}|Eliminando plagas de {{targetPlant}}|A remover pragas de {{targetPlant}}|Exterminando pragas de {{targetPlant}}|Usuwa szkodniki z {{targetPlant}}|Избавляет от вредителей: {{targetPlant}}|||||||
ACTION.JOB.TILLING|Tilling the earth||Beackert den Boden|Labourant la terre|Sta arando il terreno|Labrando la tierra|A lavrar a terra|Lavrando a terra|Uprawia ziemię|Обрабатывает землю|||||||
ACTION.JOB.TRANSFER_LIQUID|Filling {{targetDescription}}||Füllt {{targetDescription}}|Remplissant : {{targetDescription}}|Sta riempiendo: {{targetDescription}}|Llenando {{targetDescription}}|A encher {{targetDescription}}|Enchendo {{targetDescription}}|Wypełnia {{targetDescription}}|Заполняет: {{targetDescription}}|||||||
ACTION.SELECT_JOB.DESCRIPTION|Looking for work to do|When looking for a job to work|Sucht Arbeit|Cherchant quoi faire|Sta cercando qualcosa da fare|Buscando qué hacer|À procura de trabalho|Procurando o que fazer|Szuka pracy|Ищет работу|||||||
ACTION.SLEEP_IN_BED.DESCRIPTION|Sleeping in {{containerDescription}}|E.g. “Sleeping in wooden bed”|Schläft in {{containerDescription}}|Dormant : {{containerDescription}}|Sta dormendo in: {{containerDescription}}|Durmiendo en {{containerDescription}}|A dormir em {{containerDescription}}|Dormindo em {{containerDescription}}|Śpi w {{containerDescription}}|Спит в: {{containerDescription}}|||||||
ACTION.SLEEP_ON_FLOOR.DESCRIPTION|Sleeping on {{tileDescription}}|E.g. “Sleeping on rough stone floor”|Schläft auf {{tileDescription}}|Dormant : {{tileDescription}}|Sta dormendo su: {{tileDescription}}|Durmiendo sobre {{tileDescription}}|A dormir em {{tileDescription}}|Dormindo em {{tileDescription}}|Śpi na {{tileDescription}}|Спит на: {{tileDescription}}|||||||

CONSTRUCTION.DESCRIPTION|Construction of {{materialType.adjective}} {{furnitureType.noun}}|E.g. “Construction of granite stonemason workbench”|Herstellung von {{furnitureType.noun}} aus {{materialType}}|Construction : {{furnitureType.noun}} {{materialType.adjective}}|Costruzione di: {{furnitureType.noun}} {{materialType.adjective}}|Construcción de {{furnitureType.noun}} {{materialType.adjective}}|Construção de {{materialType.adjective}} {{furnitureType.noun}}|Fabricação de {{furnitureType.noun}} {{materialType.adjective}}|W budowie: {{materialType.adjective}} {{furnitureType.noun}}|Строительство: {{furnitureType.noun}} {{materialType.adjective}}|||||||
CONSTRUCTION.ITEM_ALLOCATION|{{quantity}} of {{itemDescription}} allocated|E.g. “1 of 3 marble blocks allocated” (or assigned)|{{quantity}} von {{itemDescription}} zugewiesen|Assignation : {{quantity}} {{itemDescription}}|Assegnazione di {{itemDescription}}: {{quantity}}|Asignado: {{quantity}} de {{itemDescription}}|{{quantity}} de {{itemDescription}} atribuídos|Alocação: {{quantity}}{{itemDescription}}|Liczba przydzielonych {{itemDescription}}: {{quantity}}|Распределено: {{quantity}} из {{itemDescription}}|||||||
CONSTRUCTION.STATUS.CLEARING_WORK_SITE|Removing other items|This is to be displayed when other items need to be cleared out from an area that has something being built over it|Baut andere Gegenstände ab|Retirant d'autres objets|Sta rimuovendo altri oggetti|Eliminando otros objetos|A remover outros itens|Removendo outros itens|Usuwanie innych przedmiotów|Удаление других предметов|||||||
CONSTRUCTION.STATUS.SELECTING_MATERIALS|Waiting for more {{materialType}} {{itemDescription.plural}} to be available|E.g. “Waiting for more wooden planks to be available”|Wartet auf mehr {{itemDescription.plural}} aus {{materialType}}|Attendant plus de {{itemDescription.plural}} en {{materialType}} disponibles|In attesa di maggiore disponibilità di {{itemDescription.plural}} {{materialType}}|Esperando a que haya disponibles más {{itemDescription.plural}} {{materialType}}|A aguardar por mais {{materialType}} {{itemDescription.plural}} disponível|Aguardando mais {{itemDescription.plural}} de {{materialType}} disponíveis|Oczekuje aż będzie dostępne więcej {{materialType}} {{itemDescription.plural}}|Ожидание дополнительных материалов: {{materialType}} {{itemDescription.plural}}|||||||
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION|Under construction|This is displayed once all resources are in place and the construction is being worked on|Wird gebaut|En construction|In costruzione|En construcción|Em construção|Em construção|W budowie|Идет строительство|||||||
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES|Waiting for resources to arrive|This is displayed while a construction is waiting for resource items to be placed in the build area|Wartet auf Materialien|Attendant l'arrivée de ressources|In attesa dell'arrivo delle risorse|Esperando a que los recursos lleguen|A aguardar a chegada de recursos|Aguardando a chegada de recursos|Oczekuje na dostawę zasobów|Ожидание доставки ресурсов|||||||

COOKING.DUAL_INGREDIENT.DESCRIPTION|{{materialOne}} and {{materialTwo}}|E.g. “Tomato and potato”, to be used for for two ingredients together as below|{{materialOne}} und {{materialTwo}}|{{materialOne}} et {{materialTwo}}|{{materialOne}} e {{materialTwo}}|{{materialOne}} y {{materialTwo}}|{{materialOne}} e {{materialTwo}}|{{materialOne}} e {{materialTwo}}|{{materialOne}} i {{materialTwo}}|{{materialOne}} и {{materialTwo}}|||||||
COOKING.SOUP.DESCRIPTION|{{materialDescription}} soup|E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”|Suppe aus {{materialDescription}}|Soupe : {{materialDescription}}|Zuppa ({{materialDescription}})|Sopa {{materialDescription}}|Sopa de {{materialDescription}}|sopa de {{materialDescription}}|Zupa z {{materialDescription}}|{{materialDescription}} суп|||||||

CROP.AFFLICTED_BY_PESTS|Afflicted by pests|For when a crop plant is infested with insects and other pests and needs some work to remove them|Von Schädlingen befallen|Infesté de nuisibles|Infestato dai parassiti|Infestado por plaga|Atacado por pragas|Infestação de pragas|Zaatakowane przez szkodniki|Поражено вредителями|||||||
CROP.DESCRIPTION|{{materialType.noun}} plant||{{materialType.noun}}-Pflanze|Plant :{{materialType.noun}}|{{materialType.noun}}|{{materialType.noun}}|Planta {{materialType.noun}}|plantação de {{materialType.noun}}|Roślina {{materialType.noun}}|Растение: {{materialType.noun}}|||||||
CROP.HARVEST_PROGRESS|Progress towards harvest: {{progress}}%|E.g. “Progress towards harvest: 30%”|Reifungsprozess: {{progress}} %|Progression avant récolte : {{progress}} %|Progresso della raccolta: {{progress}}%|Progreso de la cosecha: {{progress}} %|Progresso até à colheita: {{progress}}%|Progressão até a colheita: {{progress}}%|Postępy zbierania: {{progress}}%|Прогресс до сбора урожая: {{progress}}%|||||||

EARTH.GRASS.NOUN|Grass|These will only be used on their own, not as part of anything else|Gras|Herbe|Erba|Hierba|Erva|Relva|Trawa|Трава|||||||

FLOOR.COBBLESTONE|Cobblestone||Pflasterstein|Pavé|Ciottoli|Adoquines|Pedra|Calçamento|Bruk|Булыжный|||||||
FLOOR.DESCRIPTION|{{floorType.noun}}||{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|||||||
FLOOR.DIRT|Dirt||Boden|Terre|Terra|Tierra|Terra|Solo|Ziemia|Грязь|||||||
FLOOR.GRASS|Grass||Gras|Herbe|Erba|Hierba|Erva|Relva|Trawa|Трава|||||||
FLOOR.GRAVEL|Gravel||Kies|Gravier|Ghiaia|Grava|Gravilha|Cascalho|Żwir|Гравий|||||||
FLOOR.RIVER|River||Fluss|Rivière|Fiume|Río|Rio|Rio|Rzeka|Река|||||||
FLOOR.ROUGH_STONE|Rough stone floor||Steinboden|Rocher brut|Pietra grezza|Piedra áspera|Chão de pedra|Terreno rochoso|Kamienna podłoga|Грубый каменный пол|||||||
FLOOR.STONE_SLAB|Stone slab||Steinplatte|Dalle|Lastre di pietra|Losa de piedra|Laje de pedra|Laje de pedra|Kamienna płyta|Каменная плитка|||||||
FLOOR.TILLED_EARTH|Tilled earth||Ackerboden|Terre labourée|Terreno arato|Tierra labrada|Terra lavrada|Solo arado|Ziemia uprawna|Обработанная земля|||||||

FOODSTUFF.BREAD|Bread||Brot|Pain :|Pane|Pan|Pão|Pão|Chleb|Хлеб:|||||||

FURNITURE.BAKING_OVEN|Baker's oven|For the baking of bread|Backofen|Four de boulanger|Forno da panettiere|Horno para panaderos|Forno de padaria|Forno de padeiro|Piec do chleba|Духовка для выпечки|||||||
FURNITURE.CARPENTRY_WORKBENCH|Carpentry workbench||Schreinerstation|Établi de menuisier|Banco dell'artigiano|Mesa de trabajo de carpintero|Bancada de trabalho de carpintaria|Bancada de carpintaria|Stół cieśli|Верстак плотника|||||||
FURNITURE.CAULDRON|Cauldron|A large metal pot for cooking (common with Halloween)|Kessel|Chaudron|Calderone|Caldero|Caldeirão|Caldeirão|Kocioł|Котел|||||||
FURNITURE.CHAIR|Chair||Stuhl|Chaise|Sedia|Silla|Cadeira|Cadeira|Krzesło|Стул|||||||
FURNITURE.DESCRIPTION|{{materialType.adjective}} {{furnitureType.noun}}|E.g. “Granite stonemason workbench”|{{furnitureType.noun}} aus {{materialType}}|{{furnitureType.noun}} {{materialType.adjective}}|{{furnitureType.noun}} {{materialType.adjective}}|{{furnitureType.noun}} {{materialType.adjective}}|{{materialType.adjective}} {{furnitureType.noun}}|{{furnitureType.noun}} {{materialType.adjective}}|{{materialType.adjective}} {{furnitureType.noun}}|{{materialType.adjective}} {{furnitureType.noun}}|||||||
FURNITURE.FEASTING_TABLE|Feasting table|A very large table for a feast|Festtafel|Table de banquet|Tavolo da banchetto|Mesa para banquetes|Mesa de banquete|Mesa de banquete|Stół biesiadny|Огромный стол|||||||
FURNITURE.KITCHEN_WORKTOP|Kitchen worktop|Simple piece of furniture in a kitchen used to hold ingredients on top of it|Küchentisch|Plan de travail|Piano di lavoro da cucina|Mesa para cocinar|Bancada de cozinha|Bancada de cozinha|Blat kuchenny|Кухонная столешница|||||||
FURNITURE.LANTERN|Lantern||Laterne|Lanterne|Lanterna|Farol|Lanterna|Lanterna|Latarnia|Фонарь|||||||
FURNITURE.LARGE_TABLE|Large table||Esstisch|Grande table|Tavolo grande|Mesa grande|Mesa grande|Mesa grande|Duży stół|Большой стол|||||||
FURNITURE.PLACEHOLDER_SMELTER|Placeholder smelter||Platzhalter-Schmelzer|Fonderie provisoire|Fucina segnaposto|Marcador de fundición|Placeholder fundição|Fundidor provisório|Tymczasowa huta|Временная плавильня|||||||
FURNITURE.PLACEHOLDER_SMITHY|Placeholder smithy||Platzhalter-Schmiede|Forge provisoire|Forgia segnaposto|Marcador de forja|Placeholder ferraria|Forja provisória|Tymczasowa kuźnia|Временная кузница|||||||
FURNITURE.SERVING_TABLE|Serving table|A table used to hold food for serving|Serviertisch|Buffet|Tavolo di servizio|Mesa para servir|Mesa auxiliar|Mesa de refeições|Stół do podawania posiłków|Сервировочный стол|||||||
FURNITURE.SINGLE_BED|Bed||Bett|Lit|Letto|Cama|Cama|Cama|Łóżko|Кровать|||||||
FURNITURE.SINGLE_DOOR|Door||Tür|Porte|Porta|Puerta|Porta|Porta|Drzwi|Дверь|||||||
FURNITURE.SINGLE_DOOR_FRAME|Door frame||Türrahmen|Encadrement de porte|Telaio per porta|Marco de puerta|Ombreira de porta|Moldura de porta|Futryna|Дверной косяк|||||||
FURNITURE.SMALL_TABLE|Small table||Tisch|Petite table|Tavolo piccolo|Mesa pequeña|Mesa pequena|Mesa pequena|Mały stół|Маленький стол|||||||
FURNITURE.STONEMASON_WORKBENCH|Stonemason workbench||Steinmetzstation|Établi de tailleur de pierre|Banco da tagliapietre|Mesa de trabajo de albañil|Bancada de trabalho de cantaria|Bancada de pedreiro|Stół kamieniarza|Верстак каменщика|||||||
FURNITURE.STOOL|Stool||Hocker|Tabouret|Sgabello|Taburete|Banco|Banqueta|Stołek|Табурет|||||||
FURNITURE.WATER_BARREL|Water barrel||Wasserfass|Tonneau à eau|Barile d'acqua|Barril de agua|Barril de água|Barril de água|Beczka na wodę|Бочка для воды|||||||
FURNITURE.WOODCUTTERS_BENCH|Woodcutting bench||Holzfällerstation|Établi de scieur|Banco da taglialegna|Soporte para cortar madera|Bancada de corte de lenha|Bancada de madeireiro|Stół do cięcia drewna|Верстак резчика по дереву|||||||

GEM.AMETHYST.ADJECTIVE|Amethyst||Amethyst|en améthyste|di ametista|De amatista|De ametista|de ametista|Ametystowy|(аметист)|||||||
GEM.AMETHYST.NOUN|Amethyst||Amethyst|Améthyste|Ametista|Amatista|Ametista|de ametista|Ametyst|Аметист|||||||
GEM.AQUAMARINE.ADJECTIVE|Aquamarine||Aquamarin|en aigue-marine|di acquamarina|De aguamarina|De água-marinha|de água-marinha|Akwamarynowy|(аквамарин)|||||||
GEM.AQUAMARINE.NOUN|Aquamarine||Aquamarin|Aigue-marine|Acquamarina|Aguamarina|Água-marinha|de água-marinha|Akwamaryna|Аквамарин|||||||
GEM.CITRINE.ADJECTIVE|Citrine||Zitrin|en citrine|di citrino|De cuarzo|De citrino|de citrino|Cytrynowy|(цитрин)|||||||
GEM.CITRINE.NOUN|Citrine||Zitrin|Citrine|Citrino|Cuarzo|Citrino|de citrino|Cytryn|Цитрин|||||||
GEM.DIAMOND.ADJECTIVE|Diamond||Diamant|en diamant|di diamante|De diamante|De diamante|de diamante|Diamentowy|(алмаз)|||||||
GEM.DIAMOND.NOUN|Diamond||Diamant|Diamant|Diamante|Diamante|Diamante|de diamante|Diament|Алмаз|||||||
GEM.EMERALD.ADJECTIVE|Emerald||Smaragd|en émeraude|di smeraldo|De esmeralda|De esmeralda|de esmeralda|Szmaragdowy|(изумруд)|||||||
GEM.EMERALD.NOUN|Emerald||Smaragd|Émeraude|Smeraldo|Esmeralda|Esmeralda|de esmeralda|Szmaragd|Изумруд|||||||
GEM.GARNET.ADJECTIVE|Garnet||Granat|en grenat|di granato|De granate|De granada|de granada|Granatowy|(гранат)|||||||
GEM.GARNET.NOUN|Garnet||Granat|Grenat|Granato|Granate|Granada|de granada|Granat|Гранат|||||||
GEM.JADE.ADJECTIVE|Jade||Jade|en jade|di giada|De jade|De jade|de jade|Jadeitowy|(нефрит)|||||||
GEM.JADE.NOUN|Jade||Jade|Jade|Giada |Jade|Jade|de jade|Jadeit|Нефрит|||||||
GEM.JASPER.ADJECTIVE|Jasper||Jaspis|en jaspe|di diaspro|De jaspe|De jaspe|de jaspe|Jaspisowy|(яшма)|||||||
GEM.JASPER.NOUN|Jasper||Jaspis|Jaspe|Diaspro|Jaspe|Jaspe|de jaspe|Jaspis|Яшма|||||||
GEM.MOONSTONE.ADJECTIVE|Moonstone||Mondstein|en pierre de lune|di pietra di luna|De piedra lunar|De pedra da lua|de selenita|Księżycowy|(лунный камень)|||||||
GEM.MOONSTONE.NOUN|Moonstone||Mondstein|Pierre de lune|Pietra di luna|Piedra lunar|Pedra da lua|de selenita|Kamień księżycowy|Лунный камень|||||||
GEM.MORGANITE.ADJECTIVE|Morganite||Beryll|en morganite|di morganite|De morganita|De morganite|de morganita|Morganitowy|(морганит)|||||||
GEM.MORGANITE.NOUN|Morganite||Beryll|Morganite|Morganite|Morganita|Morganite|de morganita|Morganit|Морганит|||||||
GEM.OPAL.ADJECTIVE|Opal||Opal|en opale|di opale|De ópalo|De opala|de opala|Opalowy|(опал)|||||||
GEM.OPAL.NOUN|Opal||Opal|Opale|Opale|Ópalo|Opala|de opala|Opal|Опал|||||||
GEM.ROCK_CRYSTAL.ADJECTIVE|Rock crystal||Bergkristall|en quartz|di cristallo di rocca|De cristal de roca|De cristal de rocha|de cristal de rocha|Kryształowy|(горный хрусталь)|||||||
GEM.ROCK_CRYSTAL.NOUN|Rock crystal||Bergkristall|Quartz|Cristallo di rocca|Cristal de roca|Cristal de rocha|de cristal de rocha|Kryształ|Горный хрусталь|||||||
GEM.RUBY.ADJECTIVE|Ruby||Rubin|en rubis|di rubino|De rubí|De rubi|de rubi|Rubinowy|(рубин)|||||||
GEM.RUBY.NOUN|Ruby||Rubin|Rubis|Rubino|Rubí|Rubi|de rubi|Rubin|Рубин|||||||
GEM.SAPPHIRE.ADJECTIVE|Sapphire||Saphir|en saphir|di zaffiro|De zafiro|De safira|de safira|Szafirowy|(сапфир)|||||||
GEM.SAPPHIRE.NOUN|Sapphire||Saphir|Saphir|Zaffiro|Zafiro|Safira|de safira|Szafir|Сапфир|||||||
GEM.SPINEL.ADJECTIVE|Spinel||Spinell|en spinelle|di smeriglio|De espinela|De espinela|de espinela|Spinelowy|(шпинель)|||||||
GEM.SPINEL.NOUN|Spinel||Spinell|Spinelle|Smeriglio|Espinela|Espinela|de espinela|Spinel|Шпинель|||||||
GEM.TANZANITE.ADJECTIVE|Tanzanite||Tansanit|en tanzanite|di tanzanite|De tanzanita|De tanzanite|de tanzanita|Tanzanitowy|(танзанит)|||||||
