KEY|NOTES|ENGLISH|GERMAN|FRENCH|ITALIAN|SPANISH|PORTUGUESE|POLISH|RUSSIAN|PORTUGUESE BR|DUTCH|SWEDISH|NORWEGIAN|HUNGARIAN|FINNISH
|||||||||||||||
ACTION.JOB.CLEAR_GROUND|E.g. “Clearing shrub”|Clearing {{targetPlant}}|Entfernt {{plantDescription}}|Arrachant : {{plantDescription}}|Sta rimuovendo: {{plantDescription}}|Eliminando {{plantDescription}}|Limpar {{plantDescription}}|Usuwanie {{plantDescription}}|Расчищает: {{plantDescription}}|Retirando {{targetPlant}}|{plantDescription}} verwijderen|Rensa {{plantDescription}}|Fjerner {{plantDescription}}||Poistaminen: {{plantDescription}}
ACTION.JOB.CONSTRUCT_FURNITURE|E.g. “Crafting furniture”|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}
ACTION.JOB.DECONSTRUCT|E.g. “Removing stone wall” “Removing wooden wall”|Removing {{targetDescription}}|Baut {{targetDescription}} ab|Retirant : {{targetDescription}}|Sta rimuovendo: {{targetDescription}}|Quitando {{targetDescription}}|A remover {{targetDescription}}|Usuwa {{targetDescription}}|Удаляет: {{targetDescription}}|Removendo {{targetDescription}}|||||
ACTION.JOB.GENERIC|E.g. “Smelting iron ore”, “Crafting wooden planks”|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING||Harvesting {{targetPlant}}|Erntet {{targetPlant}}|Récoltant : {{targetPlant}}|Sta raccogliendo: {{targetPlant}}|Cosechando {{targetPlant}}|A colher {{targetPlant}}|Zbiera {{targetPlant}}|Собирает: {{targetPlant}}|Colhendo {{targetPlant}}|||||
ACTION.JOB.LOGGING||{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} : {{targetPlant}}|{{profession.verb}}: {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|||||
ACTION.JOB.PLANTING||Planting {{requiredItem}}|Pflanzt {{requiredItem}}|Plantant : {{requiredItem}}|Sta piantando: {{requiredItem}}|Colocando {{requiredItem}}|A plantar {{requiredItem}}|Sadzi {{requiredItem}}|Сажает: {{requiredItem}}|Plantando {{requiredItem}}|||||
ACTION.JOB.REMOVE_PESTS_FROM_CROP||Removing pests from {{targetPlant}}|Entfernt Schädlinge von {{targetPlant}}|Désinsectisant : {{targetPlant}}|Sta disinfestando: {{targetPlant}}|Eliminando plagas de {{targetPlant}}|A remover pragas de {{targetPlant}}|Usuwa szkodniki z {{targetPlant}}|Избавляет от вредителей: {{targetPlant}}|Exterminando pragas de {{targetPlant}}|||||
ACTION.JOB.TILLING||Tilling the earth|Beackert den Boden|Labourant la terre|Sta arando il terreno|Labrando la tierra|A lavrar a terra|Uprawia ziemię|Обрабатывает землю|Lavrando a terra|||||
ACTION.JOB.TRANSFER_LIQUID||Filling {{targetDescription}}|Füllt {{targetDescription}}|Remplissant : {{targetDescription}}|Sta riempiendo: {{targetDescription}}|Llenando {{targetDescription}}|A encher {{targetDescription}}|Wypełnia {{targetDescription}}|Заполняет: {{targetDescription}}|Enchendo {{targetDescription}}|||||
ACTION.SELECT_JOB.DESCRIPTION|When looking for a job to work|Looking for work to do|Sucht Arbeit|Cherchant quoi faire|Sta cercando qualcosa da fare|Buscando qué hacer|À procura de trabalho|Szuka pracy|Ищет работу|Procurando o que fazer|Werkzoekend|Söker efter arbete|Leter etter arbeid||Etsii työtä
ACTION.SLEEP_IN_BED.DESCRIPTION|E.g. “Sleeping in wooden bed”|Sleeping in {{containerDescription}}|Schläft in {{containerDescription}}|Dormant : {{containerDescription}}|Sta dormendo in: {{containerDescription}}|Durmiendo en {{containerDescription}}|A dormir em {{containerDescription}}|Śpi w {{containerDescription}}|Спит в: {{containerDescription}}|Dormindo em {{containerDescription}}|||||
ACTION.SLEEP_ON_FLOOR.DESCRIPTION|E.g. “Sleeping on rough stone floor”|Sleeping on {{tileDescription}}|Schläft auf {{tileDescription}}|Dormant : {{tileDescription}}|Sta dormendo su: {{tileDescription}}|Durmiendo sobre {{tileDescription}}|A dormir em {{tileDescription}}|Śpi na {{tileDescription}}|Спит на: {{tileDescription}}|Dormindo em {{tileDescription}}|||||
|||||||||||||||
CONSTRUCTION.DESCRIPTION|E.g. “Construction of granite stonemason workbench”|Construction of {{materialType.adjective}} {{furnitureType.noun}}|Herstellung von {{furnitureType.noun}} aus {{materialType}}|Construction : {{furnitureType.noun}} {{materialType.adjective}}|Costruzione di: {{furnitureType.noun}} {{materialType.adjective}}|Construcción de {{furnitureType.noun}} {{materialType.adjective}}|Construção de {{materialType.adjective}} {{furnitureType.noun}}|W budowie: {{materialType.adjective}} {{furnitureType.noun}}|Строительство: {{furnitureType.noun}} {{materialType.adjective}}|Fabricação de {{furnitureType.noun}} {{materialType.adjective}}|Constructie van een {{materialType.adjective}} {{furnitureType.noun}}|Konstruktion av {{materialType.adjective}} {{furnitureType.noun}}|Bygging av {{materialType.adjective}} i {{furnitureType.noun}}|Épül: {{materialType.adjective}} {{furnitureType.noun}}|Rakentaminen: {{materialType.adjective}} {{furnitureType.noun}}
CONSTRUCTION.ITEM_ALLOCATION|E.g. “1 of 3 marble blocks allocated” (or assigned)|{{quantity}} of {{itemDescription}} allocated|{{quantity}} von {{itemDescription}} zugewiesen|Assignation : {{quantity}} {{itemDescription}}|Assegnazione di {{itemDescription}}: {{quantity}}|Asignado: {{quantity}} de {{itemDescription}}|{{quantity}} de {{itemDescription}} atribuídos|Liczba przydzielonych {{itemDescription}}: {{quantity}}|Распределено: {{quantity}} из {{itemDescription}}|Alocação: {{quantity}}{{itemDescription}}|||||
CONSTRUCTION.STATUS.CLEARING_WORK_SITE|This is to be displayed when other items need to be cleared out from an area that has something being built over it|Removing other items|Baut andere Gegenstände ab|Retirant d'autres objets|Sta rimuovendo altri oggetti|Eliminando otros objetos|A remover outros itens|Usuwanie innych przedmiotów|Удаление других предметов|Removendo outros itens|||||
CONSTRUCTION.STATUS.SELECTING_MATERIALS|E.g. “Waiting for more wooden planks to be available”|Waiting for more {{materialType}} {{itemDescription.plural}} to be available|Wartet auf mehr {{itemDescription.plural}} aus {{materialType}}|Attendant plus de {{itemDescription.plural}} en {{materialType}} disponibles|In attesa di maggiore disponibilità di {{itemDescription.plural}} {{materialType}}|Esperando a que haya disponibles más {{itemDescription.plural}} {{materialType}}|A aguardar por mais {{materialType}} {{itemDescription.plural}} disponível|Oczekuje aż będzie dostępne więcej {{materialType}} {{itemDescription.plural}}|Ожидание дополнительных материалов: {{materialType}} {{itemDescription.plural}}|Aguardando mais {{itemDescription.plural}} de {{materialType}} disponíveis|||||
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION|This is displayed once all resources are in place and the construction is being worked on|Under construction|Wird gebaut|En construction|In costruzione|En construcción|Em construção|W budowie|Идет строительство|Em construção|||||
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES|This is displayed while a construction is waiting for resource items to be placed in the build area|Waiting for resources to arrive|Wartet auf Materialien|Attendant l'arrivée de ressources|In attesa dell'arrivo delle risorse|Esperando a que los recursos lleguen|A aguardar a chegada de recursos|Oczekuje na dostawę zasobów|Ожидание доставки ресурсов|Aguardando a chegada de recursos|||||
|||||||||||||||
COOKING.DUAL_INGREDIENT.DESCRIPTION|E.g. “Tomato and potato”, to be used for for two ingredients together as below|{{materialOne}} and {{materialTwo}}|{{materialOne}} und {{materialTwo}}|{{materialOne}} et {{materialTwo}}|{{materialOne}} e {{materialTwo}}|{{materialOne}} y {{materialTwo}}|{{materialOne}} e {{materialTwo}}|{{materialOne}} i {{materialTwo}}|{{materialOne}} и {{materialTwo}}|{{materialOne}} e {{materialTwo}}|||||
COOKING.SOUP.DESCRIPTION|E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”|{{materialDescription}} soup|Suppe aus {{materialDescription}}|Soupe : {{materialDescription}}|Zuppa ({{materialDescription}})|Sopa {{materialDescription}}|Sopa de {{materialDescription}}|Zupa z {{materialDescription}}|{{materialDescription}} суп|sopa de {{materialDescription}}|||||
|||||||||||||||
CROP.AFFLICTED_BY_PESTS|For when a crop plant is infested with insects and other pests and needs some work to remove them|Afflicted by pests|Von Schädlingen befallen|Infesté de nuisibles|Infestato dai parassiti|Infestado por plaga|Atacado por pragas|Zaatakowane przez szkodniki|Поражено вредителями|Infestação de pragas|||||
CROP.DESCRIPTION||{{materialType.noun}} plant|{{materialType.noun}}-Pflanze|Plant :{{materialType.noun}}|{{materialType.noun}}|{{materialType.noun}}|Planta {{materialType.noun}}|Roślina {{materialType.noun}}|Растение: {{materialType.noun}}|plantação de {{materialType.noun}}|||||
CROP.HARVEST_PROGRESS|E.g. “Progress towards harvest: 30%”|Progress towards harvest: {{progress}}%|Reifungsprozess: {{progress}} %|Progression avant récolte : {{progress}} %|Progresso della raccolta: {{progress}}%|Progreso de la cosecha: {{progress}} %|Progresso até à colheita: {{progress}}%|Postępy zbierania: {{progress}}%|Прогресс до сбора урожая: {{progress}}%|Progressão até a colheita: {{progress}}%|||||
|||||||||||||||
EARTH.GRASS.NOUN|These will only be used on their own, not as part of anything else|Grass|Gras|Herbe|Erba|Hierba|Erva|Trawa|Трава|Relva||||Fű|
|||||||||||||||
FLOOR.COBBLESTONE||Cobblestone|Pflasterstein|Pavé|Ciottoli|Adoquines|Pedra|Bruk|Булыжный|Calçamento|||||
FLOOR.DESCRIPTION||{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|{{floorType.noun}}|||||
FLOOR.DIRT||Dirt|Boden|Terre|Terra|Tierra|Terra|Ziemia|Грязь|Solo|||||
FLOOR.GRASS||Grass|Gras|Herbe|Erba|Hierba|Erva|Trawa|Трава|Relva|||||
FLOOR.GRAVEL||Gravel|Kies|Gravier|Ghiaia|Grava|Gravilha|Żwir|Гравий|Cascalho|||||
FLOOR.RIVER||River|Fluss|Rivière|Fiume|Río|Rio|Rzeka|Река|Rio|||||
FLOOR.ROUGH_STONE||Rough stone floor|Steinboden|Rocher brut|Pietra grezza|Piedra áspera|Chão de pedra|Kamienna podłoga|Грубый каменный пол|Terreno rochoso|||||
FLOOR.STONE_SLAB||Stone slab|Steinplatte|Dalle|Lastre di pietra|Losa de piedra|Laje de pedra|Kamienna płyta|Каменная плитка|Laje de pedra|||||
FLOOR.TILLED_EARTH||Tilled earth|Ackerboden|Terre labourée|Terreno arato|Tierra labrada|Terra lavrada|Ziemia uprawna|Обработанная земля|Solo arado|||||
|||||||||||||||
FURNITURE.CARPENTRY_WORKBENCH||Carpentry workbench|Schreinerstation|Établi de menuisier|Banco dell'artigiano|Mesa de trabajo de carpintero|Bancada de trabalho de carpintaria|Stół cieśli|Верстак плотника|Bancada de carpintaria|Timmerwerkbank|Snickarbänk|Snekkerbenk|Ács munkaasztal|Höyläpenkki
FURNITURE.CHAIR||Chair|Stuhl|Chaise|Sedia|Silla|Cadeira|Krzesło|Стул|Cadeira|Stoel|Stol|Stol|Szék|Tuoli
FURNITURE.DESCRIPTION|E.g. “Granite stonemason workbench”|{{materialType.adjective}} {{furnitureType.noun}}|{{furnitureType.noun}} aus {{materialType}}|{{furnitureType.noun}} {{materialType.adjective}}|{{furnitureType.noun}} {{materialType.adjective}}|{{furnitureType.noun}} {{materialType.adjective}}|{{materialType.adjective}} {{furnitureType.noun}}|{{materialType.adjective}} {{furnitureType.noun}}|{{materialType.adjective}} {{furnitureType.noun}}|{{furnitureType.noun}} {{materialType.adjective}}|{{materialType.adjective}} {{furnitureType.noun}}||{{furnitureType.noun}} i {{materialType.adjective}}|{{materialType.adjective}} {{furnitureType.noun}}|{{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.KITCHEN_WORKTOP|Simple piece of furniture in a kitchen used to hold ingredients on top of it|Kitchen worktop|Küchentisch|Plan de travail|Piano di lavoro da cucina|Mesa para cocinar|Bancada de cozinha|Blat kuchenny|Кухонная столешница|Bancada de cozinha|||||
FURNITURE.LANTERN||Lantern|Laterne|Lanterne|Lanterna|Farol|Lanterna|Latarnia|Фонарь|Lanterna|Lantaarn|Lykta|Lykt|Lámpa|Lyhty
FURNITURE.LARGE_TABLE||Large table|Esstisch|Grande table|Tavolo grande|Mesa grande|Mesa grande|Duży stół|Большой стол|Mesa grande|Tafel|Stort bord|Stort bord|Nagy asztal|Suuri pöytä
FURNITURE.PLACEHOLDER_SMELTER||Placeholder smelter|Platzhalter-Schmelzer|Fonderie provisoire|Fucina segnaposto|Marcador de fundición|Placeholder fundição|Tymczasowa huta|Временная плавильня|Fundidor provisório|||||
FURNITURE.PLACEHOLDER_SMITHY||Placeholder smithy|Platzhalter-Schmiede|Forge provisoire|Forgia segnaposto|Marcador de forja|Placeholder ferraria|Tymczasowa kuźnia|Временная кузница|Forja provisória|||||
FURNITURE.SINGLE_BED||Bed|Bett|Lit|Letto|Cama|Cama|Łóżko|Кровать|Cama|||||
FURNITURE.SINGLE_DOOR||Door|Tür|Porte|Porta|Puerta|Porta|Drzwi|Дверь|Porta|Deur|Dörr|Dør|Ajtó|Ovi
FURNITURE.SINGLE_DOOR_FRAME||Door frame|Türrahmen|Encadrement de porte|Telaio per porta|Marco de puerta|Ombreira de porta|Futryna|Дверной косяк|Moldura de porta|Deurkozijn|Dörrkarm|Dørkarm|Ajtókeret|Oven karmi
FURNITURE.SMALL_TABLE||Small table|Tisch|Petite table|Tavolo piccolo|Mesa pequeña|Mesa pequena|Mały stół|Маленький стол|Mesa pequena|Tafeltje|Litet bord|Lite bord|Kis asztal|Pieni pöytä
FURNITURE.STONEMASON_WORKBENCH||Stonemason workbench|Steinmetzstation|Établi de tailleur de pierre|Banco da tagliapietre|Mesa de trabajo de albañil|Bancada de trabalho de cantaria|Stół kamieniarza|Верстак каменщика|Bancada de pedreiro|Steenhouwerswerkbank|Stenhuggarbänk|Steinhuggerbenk|Kőfaragó munkaasztal|Kivenhakkaajan työpenkki
FURNITURE.STOOL||Stool|Hocker|Tabouret|Sgabello|Taburete|Banco|Stołek|Табурет|Banqueta|Kruk|Pall|Krakk|Zsámoly|Jakkara
FURNITURE.WATER_BARREL||Water barrel|Wasserfass|Tonneau à eau|Barile d'acqua|Barril de agua|Barril de água|Beczka na wodę|Бочка для воды|Barril de água|||||
FURNITURE.WOODCUTTERS_BENCH||Woodcutting bench|Holzfällerstation|Établi de scieur|Banco da taglialegna|Soporte para cortar madera|Bancada de corte de lenha|Stół do cięcia drewna|Верстак резчика по дереву|Bancada de madeireiro|Zaagwerkbank|Huggkubb|Sagbenk|Favágó munkaasztal|Sahapukki
FURNITURE.CAULDRON|A large metal pot for cooking (common with Halloween)|Cauldron|Kessel|Chaudron|Calderone|Caldero|Caldeirão|Kocioł|Котел|Caldeirão|||||
FURNITURE.FEASTING_TABLE|A very large table for a feast|Feasting table|Festtafel|Table de banquet|Tavolo da banchetto|Mesa para banquetes|Mesa de banquete|Stół biesiadny|Огромный стол|Mesa de banquete|||||
FURNITURE.SERVING_TABLE|A table used to hold food for serving|Serving table|Serviertisch|Buffet|Tavolo di servizio|Mesa para servir|Mesa auxiliar|Stół do podawania posiłków|Сервировочный стол|Mesa de refeições|||||
FURNITURE.BAKING_OVEN|For the baking of bread|Baker's oven|Backofen|Four de boulanger|Forno da panettiere|Horno para panaderos|Forno de padaria|Piec do chleba|Духовка для выпечки|Forno de padeiro|||||
|||||||||||||||
GEM.AMETHYST.ADJECTIVE||Amethyst|Amethyst|en améthyste|di ametista|De amatista|De ametista|Ametystowy|(аметист)|de ametista|Amethist|Ametist-|Ametyst|Ametiszt|Ametistinen
GEM.AMETHYST.NOUN||Amethyst|Amethyst|Améthyste|Ametista|Amatista|Ametista|Ametyst|Аметист|de ametista|Amethist|Ametist|Ametyst|Ametiszt|Ametisti
GEM.AQUAMARINE.ADJECTIVE||Aquamarine|Aquamarin|en aigue-marine|di acquamarina|De aguamarina|De água-marinha|Akwamarynowy|(аквамарин)|de água-marinha|Aquamarijn|Akvamarin-|Akvamarin|Akvamarin|Akvamariininen
GEM.AQUAMARINE.NOUN||Aquamarine|Aquamarin|Aigue-marine|Acquamarina|Aguamarina|Água-marinha|Akwamaryna|Аквамарин|de água-marinha|Aquamarijn|Akvamarin|Akvamarin|Akvamarin|Akvamariini
GEM.CITRINE.ADJECTIVE||Citrine|Zitrin|en citrine|di citrino|De cuarzo|De citrino|Cytrynowy|(цитрин)|de citrino|Citrien|Citron-|Citrin|Sárga kvarc|Sitriininen
GEM.CITRINE.NOUN||Citrine|Zitrin|Citrine|Citrino|Cuarzo|Citrino|Cytryn|Цитрин|de citrino|Citrien|Citrin|Citrin|Sárga kvarc|Sitriini
GEM.DIAMOND.ADJECTIVE||Diamond|Diamant|en diamant|di diamante|De diamante|De diamante|Diamentowy|(алмаз)|de diamante|Diamanten|Diamant-|Diamant|Gyémánt|Timanttinen
GEM.DIAMOND.NOUN||Diamond|Diamant|Diamant|Diamante|Diamante|Diamante|Diament|Алмаз|de diamante|Diamant|Diamant|Diamant|Gyémánt|Timantti
GEM.EMERALD.ADJECTIVE||Emerald|Smaragd|en émeraude|di smeraldo|De esmeralda|De esmeralda|Szmaragdowy|(изумруд)|de esmeralda|Smaragd|Smaragd-|Smaragd|Smaragd|Smaragdinen
GEM.EMERALD.NOUN||Emerald|Smaragd|Émeraude|Smeraldo|Esmeralda|Esmeralda|Szmaragd|Изумруд|de esmeralda|Smaragd|Smaragd|Smaragd|Smaragd|Smaragdi
GEM.GARNET.ADJECTIVE||Garnet|Granat|en grenat|di granato|De granate|De granada|Granatowy|(гранат)|de granada|Granaten|Granat-|Granat|Gránát|Granaattinen
GEM.GARNET.NOUN||Garnet|Granat|Grenat|Granato|Granate|Granada|Granat|Гранат|de granada|Granaat|Granat|Granat|Gránát|Granaatti
GEM.JADE.ADJECTIVE||Jade|Jade|en jade|di giada|De jade|De jade|Jadeitowy|(нефрит)|de jade|Jaden|Jade-|Jade|Jáde|Jadekivinen
GEM.JADE.NOUN||Jade|Jade|Jade|Giada |Jade|Jade|Jadeit|Нефрит|de jade|Jade|Jade|Jade|Jáde|Jade
GEM.JASPER.ADJECTIVE||Jasper|Jaspis|en jaspe|di diaspro|De jaspe|De jaspe|Jaspisowy|(яшма)|de jaspe|Jaspis|Jaspis-|Jaspis|Jáspis|Jaspiskivinen
GEM.JASPER.NOUN||Jasper|Jaspis|Jaspe|Diaspro|Jaspe|Jaspe|Jaspis|Яшма|de jaspe|Jaspis|Jaspis|Jaspis|Jáspis|Jaspiskivi
GEM.MOONSTONE.ADJECTIVE||Moonstone|Mondstein|en pierre de lune|di pietra di luna|De piedra lunar|De pedra da lua|Księżycowy|(лунный камень)|de selenita|Maansteen|Månsten-|Månestein|Holdkő|Kuukivinen
GEM.MOONSTONE.NOUN||Moonstone|Mondstein|Pierre de lune|Pietra di luna|Piedra lunar|Pedra da lua|Kamień księżycowy|Лунный камень|de selenita|Maansteen|Månsten|Månestein|Holdkő|Kuukivi
GEM.MORGANITE.ADJECTIVE||Morganite|Beryll|en morganite|di morganite|De morganita|De morganite|Morganitowy|(морганит)|de morganita|Morganiet|Morganit-|Morganitt|Morganit|Morganiittinen
GEM.MORGANITE.NOUN||Morganite|Beryll|Morganite|Morganite|Morganita|Morganite|Morganit|Морганит|de morganita|Morganiet|Morganit|Morganitt|Morganit|Morganiitti
GEM.OPAL.ADJECTIVE||Opal|Opal|en opale|di opale|De ópalo|De opala|Opalowy|(опал)|de opala|Opaal|Opal-|Opal|Opál|Opaalinen
GEM.OPAL.NOUN||Opal|Opal|Opale|Opale|Ópalo|Opala|Opal|Опал|de opala|Opaal|Opal|Opal|Opál|Opaali
GEM.ROCK_CRYSTAL.ADJECTIVE||Rock crystal|Bergkristall|en quartz|di cristallo di rocca|De cristal de roca|De cristal de rocha|Kryształowy|(горный хрусталь)|de cristal de rocha|Steenkristallen|Bergkristall-|Kvarts|Hegyikristály|Vuorikristallinen
GEM.ROCK_CRYSTAL.NOUN||Rock crystal|Bergkristall|Quartz|Cristallo di rocca|Cristal de roca|Cristal de rocha|Kryształ|Горный хрусталь|de cristal de rocha|Steenkristal|Bergkristall|Kvarts|Hegyikristály|Vuorikristalli
GEM.RUBY.ADJECTIVE||Ruby|Rubin|en rubis|di rubino|De rubí|De rubi|Rubinowy|(рубин)|de rubi|Robijnen|Rubin-|Rubin|Rubint|Rubiininen
GEM.RUBY.NOUN||Ruby|Rubin|Rubis|Rubino|Rubí|Rubi|Rubin|Рубин|de rubi|Robijn|Rubin|Rubin|Rubint|Rubiini
GEM.SAPPHIRE.ADJECTIVE||Sapphire|Saphir|en saphir|di zaffiro|De zafiro|De safira|Szafirowy|(сапфир)|de safira|Saffieren|Safir-|Safir|Zafír|Safiirinen
GEM.SAPPHIRE.NOUN||Sapphire|Saphir|Saphir|Zaffiro|Zafiro|Safira|Szafir|Сапфир|de safira|Saffier|Safir|Safir|Zafír|Safiiri
GEM.SPINEL.ADJECTIVE||Spinel|Spinell|en spinelle|di smeriglio|De espinela|De espinela|Spinelowy|(шпинель)|de espinela|Spinel|Spinell-|Spinell|Spinell|Spinellinen
GEM.SPINEL.NOUN||Spinel|Spinell|Spinelle|Smeriglio|Espinela|Espinela|Spinel|Шпинель|de espinela|Spinel|Spinell|Spinell|Spinell|Spinelli
GEM.TANZANITE.ADJECTIVE||Tanzanite|Tansanit|en tanzanite|di tanzanite|De tanzanita|De tanzanite|Tanzanitowy|(танзанит)|de tanzanita|Tanzaniet|Tanzanite-|Tanzanitt|Tanzanit|Tansaniittinen
GEM.TANZANITE.NOUN||Tanzanite|Tansanit|Tanzanite|Tanzanite|Tanzanita|Tanzanite|Tanzanit|Танзанит|de tanzanita|Tanzaniet|Tanzanite|Tanzanitt|Tanzanit|Tansaniitti
GEM.TOPAZ.ADJECTIVE||Topaz|Topas|en topaze|di topazio|De topacio|De topázio|Topazowy|(топаз)|de topázio|Topaas|Topas-|Topas|Topáz|Topaasinen
GEM.TOPAZ.NOUN||Topaz|Topas|Topaze|Topazio|Topacio|Topázio|Topaz|Топаз|de topázio|Topaas|Topas|Topas|Topáz|Topaasi
GEM.TOURMALINE.ADJECTIVE||Tourmaline|Turmalin|en tourmaline|di tormalina|De turmalina|De turmalina|Turmalinowy|(турмалин)|de turmalina|Toermalijn|Turmalin-|Turmalin|Turmalin|Turmaliininen
GEM.TOURMALINE.NOUN||Tourmaline|Turmalin|Tourmaline|Tormalina|Turmalina|Turmalina|Turmalin|Турмалин|de turmalina|Toermalijn|Turmalin|Turmalin|Turmalin|Turmaliini
