KEY|NOTES|ENGLISH|GERMAN|FRENCH|ITALIAN|SPANISH|PORTUGUESE|POLISH|RUSSIAN|PORTUGUESE BR|DUTCH|SWEDISH|NORWEGIAN|HUNGARIAN|FINNISH
GEM.TURQUOISE.ADJECTIVE||Turquoise|Türkis|en turquoise|di turchese|De turquesa|De turquesa|Turkusowy|(бирюза)|de turquesa|Turkooizen|Turkos-|Turkis|Türkiz|Turkoosinen
GEM.TURQUOISE.NOUN||Turquoise|Türkis|Turquoise|Turchese|Turquesa|Turquesa|Turkus|Бирюза|de turquesa|Turkoois|Turkos|Turkis|Türkiz|Turkoosi
|||||||||||||||
GOAL.ADD_TO_INVENTORY.DESCRIPTION|E.g. “Collecting bag of wheat seeds”|Collecting {{targetDescription}}|Sammelt {{targetDescription}}|Collectant : {{targetDescription}}|Sta raccogliendo: {{targetDescription}}|Recogiendo {{targetDescription}}|A recolher {{targetDescription}}|Zbieranie {{targetDescription}}|Собирает: {{targetDescription}}|Coletando {{targetDescription}}|||||
GOAL.HAULING.DESCRIPTION|E.g. “Hauling granite stone”|Hauling {{targetDescription}}|Transportiert {{itemDescription}}|Transportant : {{itemDescription}}|Sta trasportando: {{itemDescription}}|Transportando {{itemDescription}}|Carregar {{itemDescription}}|Transportowanie {{itemDescription}}|Переносит: {{itemDescription}}|Transportando {{targetDescription}}|{{itemDescription}} sjouwen|Släpa {{itemDescription}}|Frakter {{itemDescription}}||Kuljetus: {{itemDescription}}
GOAL.IDLE.DESCRIPTION|When not doing anything|Idle|Unbeschäftigt|Libre|Non sta facendo niente|Descansando|Inativo|Bezczynny|Бездельничает|À toa|Nietsdoend|Inaktiv|Ledig||Joutilas
GOAL.SLEEP.DESCRIPTION||Going to sleep|Geht schlafen|Va dormir|Sta andando a dormire|Yendo a dormir|A ir para a cama|Idzie spać|Идет спать|Indo dormir|||||
GOAL.TRANSFER_LIQUID.DESCRIPTION|Becomes “Transferring water”|Transferring {{targetZoneMaterial}}|Füllt {{targetZoneMaterial}} um|Transférant : {{targetZoneMaterial}}|Sta trasferendo: {{targetZoneMaterial}}|Transfiriendo {{targetZoneMaterial}}|A transferir {{targetZoneMaterial}}|Przenosi {{targetZoneMaterial}}|Переносит: {{targetZoneMaterial}}|Transferindo {{targetZoneMaterial}}|||||
|||||||||||||||
GUI.ADD_REMOVE_ZONE_TILES|Heading to describe adding or removing an area of a zone/room|Add/remove tiles|Felder hinzufügen/entfernen|Ajouter/retirer des cases|Aggiungi/Rimuovi caselle|Añadir/eliminar baldosas|Adicionar/remover mosaicos|Dodaj/usuń kafelki|Добавление/удаление квадратов|Adicionar/remover áreas|||||
GUI.ADD_TILES|This should be as short as possible|Add tiles|Felder hinzufügen|Ajouter des cases|Aggiungi caselle|Añadir baldosas|Adicionar mosaicos|Dodaj kafelki|Добавить квадраты|Adicionar áreas|Tegels toevoegen|Lägg till paneler|Legg til felter|Mezők hozzáadása|Lisää ruutuja
GUI.BACK_LABEL|This should be as short as possible|Back|Zurück |Retour |Indietro|Atrás|Anterior|Wstecz |Назад|Voltar|Vorige|Tillbaka |Tilbake|Vissza|Taakse
GUI.BUILD.DOORS|Take from FURNITURE.SINGLE_DOOR|Doors|Türen|Portes|Porte|Puertas|Portas|Drzwi|Двери|Portas|||||
GUI.BUILD.WALLS||Walls|Wände|Murs|Pareti|Muros|Paredes|Ściany|Стены|Paredes|||||
GUI.BUILD.WALLS.LSHAPE|For building two walls in an L-shape|L-shape|L-Form|En L|Angolo|Forma en L|Forma em L|Kształt L|Г-образное соединение|Em L|||||
GUI.BUILD.WALLS.QUAD|For building 4 walls at once|Quad|Viereck|En carré|Quadrato|Cuatro paredes|Quadriculado|Poczwórny|Четверное|Quadrática|||||
GUI.BUILD.WALLS.SINGLE|For building a single wall|Single|Einzeln|Simple|Singola|Única|Simples|Pojedynczy|Одинарное|Individual|||||
GUI.BUILD_FURNITURE|This should be as short as possible|Furniture|Möbel|Meubles|Suppellettili|Muebles|Mobília|Meble|Мебель|Mobília|Meubels|Möbler|Møbler|Búrotok|Huonekalut
GUI.BUILD_LABEL|This should be as short as possible|Build|Bauen |Construire |Costruisci|Construir |Construir |Buduj|Построить|Construir|Bouwen|Bygg|Bygg|Építés|Rakenna
GUI.CANCEL_LABEL|This should be as short as possible|Cancel|Abbrechen |Annuler |Annulla|Cancelar |Cancelar |Anuluj |Отмена|Cancelar|Annuleren |Avbryt |Avbryt|Mégse|Peruuta
GUI.CROP_SELECTION||Crop:|Pflanze:|Culture :|Coltura:|Cosecha:|Plantação:|Plon:|Культура:|Cultivo:|||||
GUI.DATE_TIME_LABEL|E.g. 09:20, day 4, spring|{{timeOfDay}}, day {{dayNumber}}, {{season}}|{{timeOfDay}}, Tag {{dayNumber}}, {{season}}|{{timeOfDay}}, jour {{dayNumber}}, {{season}}|{{timeOfDay}}, {{dayNumber}}° giorno, {{season}}|{{timeOfDay}}, día {{dayNumber}}, {{season}}|{{timeOfDay}}, dia {{dayNumber}}, {{season}}|{{timeOfDay}} , dzień {{dayNumber}} , {{season}}|{{timeOfDay}}, день {{dayNumber}}, {{season}}|{{timeOfDay}}, dia {{dayNumber}}, {{season}}|||||
GUI.FURNITURE_ASSIGNED_TO|Used to show who owns a piece of furniture|Assigned to {{name}}|Zugewiesen zu {{name}}|Appartient à {{name}}|Oggetto assegnato a: {{name}}|Asignado a {{name}}|Atribuído a {{name}}|Przypisano do {{name}}|Принадлежит: {{name}}|Atribuição: {{name}}|||||
GUI.FURNITURE_BEING_REMOVED|Label for when a piece of furniture is in the process of being removed|Currently being removed|Wird gerade entfernt|Retrait en cours|Rimozione in corso|Se está eliminando|Atualmente em remoção|Trwa usuwanie|В процессе удаления|Em remoção|||||
GUI.LEAVE_CROP_FALLOW||None (Leave fallow)|Keine (Brachfläche)|Vide (en jachère)|Nessuna (lascia incolto)|Nada (en barbecho)|Nenhum (pousio)|Brak (pozostawić odłogiem)|Ничего (оставить под паром)|Nada (deixar em repouso)|||||
GUI.NEXT_LABEL|This should be as short as possible|Next|Weiter|Suivant|Avanti|Seguir|Seguinte|Dalej|Далее|Seguinte|Volgende|Nästa|Neste|Következő|Eteen
GUI.OK_LABEL|This should be as short as possible|Ok|OK|OK|OK|Ok|OK|OK|OK|OK|OK|OK|OK|OK|OK
GUI.ORDERS.CHOP_WOOD|This should be as short as possible|Chop|Hacken|Couper|Taglia|Talar|Cortar|Rąb|Рубить|Cortar|Houthakken|Hugga|Hugg|Favágás|Hakkaa
GUI.ORDERS.CLEAR_GROUND|This should be as short as possible|Clear|Aufräumen|Arracher|Rimuovi|Despejar|Limpar|Sprzątaj|Расчистить|Limpar|Ontginnen|Rensa|Rydd|Megtisztít|Tyhjentää
GUI.ORDERS.HARVEST_PLANTS|This should be as short as possible|Harvest|Ernten|Récolter |Raccogli|Cosechar|Colher|Zbieraj|Собирать|Colher|Oogsten|Skörda|Høst inn|Begyűjtés|Korjaa
GUI.ORDERS.MINE|This should be as short as possible|Mine|Graben |Miner|Scava|Excavar|Escavar|Kop|Добывать|Minerar|Delven|Gräva|Utvinn|Bányászat|Louhi
GUI.ORDERS_LABEL|This should be as short as possible|Orders|Bestellungen |Ordres |Ordini|Pedidos |Encomendas |Rozkazy|Приказы|Ordens|Orders |Order|Bestillinger|Parancsok|Käskyt
GUI.REMOVE_LABEL|This should be as short as possible|Remove|Entfernen|Retirer|Rimuovi|Eliminar|Remover|Usuń|Удалить|Remover|Verwijderen|Ta bort|Fjern|Eltávolít|Poista
GUI.REMOVE_TILES|This should be as short as possible|Remove tiles|Felder entfernen|Retirer des cases|Rimuovi caselle|Eliminar baldosas|Remover mosaicos|Usuń kafelki|Удалить квадраты|Remover áreas|Tegels verwijderen|Ta bort paneler|Fjern felter|Mezők eltávoltása|Poista ruutuja
GUI.ROTATE_FURNITURE.HINT|This is a longer label as a hint to the player|Press (R) to rotate furniture|Zum Rotieren der Möbel (R) drücken|Appuyez sur (R) pour pivoter les meubles|Premi (R) per ruotare le suppellettili|Pulsa (R) para rotar los muebles|Premir (R) para rodar mobília|Wciśnij (R), aby obrócić mebel|Нажмите (R), чтобы повернуть мебель|Aperte (R) para girar a mobília|Druk op (R) om meubels te draaien|Tryck på (R) för att rotera möbler|Trykk på (R) for å rotere møbler|Bútor fordítása (R)|Kierrä huonekaluja painamalla (R)
GUI.ZONES_LABEL|This should be as short as possible|Zones|Zonen|Zones|Zone|Zonas|Áreas|Strefy|Зоны|Zonas|Zones|Zoner|Soner|Zónák|Vyöhykkeet
GUI.MUSIC_VOLUME||Music volume:|Musiklautstärke:|Volume de la musique:|Volume della musica:|Volumen de la música:|Volume da música:|Głośność muzyki:|Громкость музыки:|Volume da música:|||||
|||||||||||||||
HUMANOID.DESCRIPTION|E.g. “Urist McScrooge, Dwarven miner”|{{name}}, {{race.adjective}} {{profession.noun}}|{{name}}, {{race.adjective}} {{profession.noun}}|{{name}}, {{profession.noun}} {{race.adjective}}|{{name}}, {{profession.noun}} {{race.adjective}}|{{name}}, {{profession.noun}} {{race.adjective}}|{{name}}, {{race.adjective}} {{profession.noun}}|{{name}}, {{race.adjective}} {{profession.noun}}|{{name}}, {{race.noun}}-{{profession.noun}}|{{name}}, {{profession.noun}} {{race.adjective}}|{{name}}, {{race.adjective}} {{profession.noun}}||{{name}}, {{race.adjective}} og {{profession.noun}}|{{name}}, {{race.adjective}} {{profession.noun}}|{{name}}, {{race.adjective}} {{profession.noun}}
|||||||||||||||
INGREDIENT.SEEDS.NOUN|E.g. “Wheat seed”|Seed|Samen|Graine :|Seme|Semilla|Semente|Nasiono|Семя:|Semente|||||
INGREDIENT.SEEDS.PLURAL|E.g. “4 wheat seeds”|Seeds|Samen|Graines :|Semi|Semillas|Sementes|Nasiona|Семена:|Sementes|||||
INGREDIENT.VEGETABLE.SACK.NOUN|E.g. “Sack containing a potato”|Sack|Sack|Sac :|Sacco|Saco|Saco|Worek|Мешок|Saca|||||
|||||||||||||||
INVENTORY.CONTAINS.LABEL|This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character|Inventory:|Inventar:|Inventaire :|Inventario:|Inventario:|Inventário:|Zapas:|Инвентарь:|Inventário:|||||
|||||||||||||||
ITEM.DESCRIPTION|E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”|{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}|{{quantity_if_multiple}}{{itemType.noun_or_plural}} aus {{materialType}}|{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}|{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}|{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}|{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}|{{materialType.adjective}} {{itemType.noun_or_plural}}: {{quantity_if_multiple}}|{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}|{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}|{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}|{{quantity_if_multiple}}{{itemType.noun_or_plural}} i {{materialType.adjective}}|{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}
ITEM.INGREDIENT.DESCRIPTION|E.g. “2 potatoes”|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|||||
|||||||||||||||
LANGUAGE.LABEL||Language|Sprache|Langue|Lingua|Idioma|Idioma|Język|Язык|Idioma|Taal|Språk|Språk|Nyelv|Kieli
|||||||||||||||
LIQUID.WATER.NOUN||Water|Wasser|Eau|Acqua|Agua|Água|Woda|Вода|Água|||||
|||||||||||||||
MATERIAL|Used for specifying which material something is made out of|Material|Material|Matériau|Materiale|Material|Material|Materiał|Материал|Material|||||
|||||||||||||||
MATERIAL_TYPE||Type|Art|Sorte|Tipo|Tipo de material|Tipo|Rodzaj|тип|Tipo|Materiaal type|Sort|Type|Rendszer|Materiaali tyyppi
MATERIAL_TYPE.ANY|For allowing any kind of material to be used|Any|Beliebig|Tous|Qualsiasi|Cualquiera|Qualquer|Każdy|Любой|Qualquer|||||
MATERIAL_TYPE.GEM.NOUN|This is only used as a noun|Gem|Edelstein|Gemme|Gemma|{{BLANK}}|Joia|Klejnot|Самоцвет|de gema|{{BLANK}}|Ädelsten|Juvel|Drágakő|Jalokivi
MATERIAL_TYPE.METAL.ADJECTIVE||Metallic|Metall|en métal|di metallo|De metal|De metal|Metalowy|(металл)|de metal|Metalen|Metallisk|Metall|Fém|Metallinen
MATERIAL_TYPE.METAL.NOUN||Metal|Metall|Métal|Metallo|Metal|Metal|Metal|Металл|Metal|Metaal|Metall|Metall|Fém|Metalli
MATERIAL_TYPE.ORE.NOUN|This is only used as a noun|Ore|Erz|Minerai|{{BLANK}}|{{BLANK}}|Minério|Ruda|Руда|Minério|{{BLANK}}|Malm|Malm|Érc|{{BLANK}}
MATERIAL_TYPE.OTHER.NOUN|This isn't actually used in-game yet so won't be combined with other words|Other|Anderes|Autre|Altro|Otro|Outro|Inne|Другое|Outro(a)|Anders|Annat|Annet||Muu
MATERIAL_TYPE.SEED.NOUN|For saying something is “made up of seed”|Seed|Samen|Graine|Seme|Semilla|Semente|Nasiono|Семя|Semente|||||
MATERIAL_TYPE.STONE.ADJECTIVE|||Stein|en pierre|di pietra|De piedra|De pedra|Kamienny|(камень)||Stenen|Sten-|Stein||Kivinen
MATERIAL_TYPE.STONE.NOUN||Stone|Stein|Pierre|Pietra|Piedra|Pedra|Kamień|Камень|Pedra|Steen|Sten|Stein|Kő|Kivi
MATERIAL_TYPE.VEGETABLE.NOUN|Used to make up “Vegetable soup”|Vegetable|Gemüse|Légumes|Verdure|De verduras|Vegetal|Warzywo|Овощной|Vegetal|||||
MATERIAL_TYPE.WOOD.ADJECTIVE||Wooden|Holz|en bois|di legno|De madera|De madeira|Drewniany|(дерево)|de madeira|Houten|Trä-|Tre|Fa|Puinen
MATERIAL_TYPE.WOOD.NOUN||Wood|Holz|Bois|Legno|Madera|Madeira|Drewno|Дерево|Madeira|Hout|Trä|Tre|Fa|Puu
|||||||||||||||
MENU.CONTINUE_GAME||Continue game|Spiel fortsetzen|Continuer|Continua partita|Continuar partida|Continuar jogo|Kontynuuj|Продолжить игру|Continuar jogo|Spel hervatten|Fortsätt spela|Fortsett spill|Játék folytatása|Jatka peliä
MENU.NEW_GAME||Start new game|Neues Spiel beginnen|Nouvelle partie|Nuova partita|Comenzar partida nueva|Iniciar novo jogo|Nowa gra|Начать новую игру|Começar outro jogo|Nieuw spel starten|Starta ett nytt spel|Start nytt spill|Új játék|Aloita uusi peli
MENU.QUIT||Quit|Beenden|Quitter|Esci|Salir|Sair|Wyjdź|Выйти|Sair|Afsluiten|Avsluta|Avslutt|Kilépés|Lopeta
MENU.TOGGLE_FULLSCREEN||Toggle fullscreen|Auf Vollbildschirm umstellen|Plein écran|Attiva/Disattiva schermo intero|Pantalla completa (sí/no)|Alternar ecrã inteiro|Pełen ekran|Во весь экран|Alternar tela cheia|Volledig scherm in-/uitschakelen|Växla helskärm|Skru fullskjerm på/av|Teljes képernyő|Vaihda koko näyttöön
|||||||||||||||
METAL.BRONZE.ADJECTIVE||Bronze|Bronze|en bronze|di bronzo|De bronce|De bronze|Brązowy|(бронза)|de bronze|Bronzen|Brons-|Bronse|Bronz|Pronssinen
METAL.BRONZE.NOUN||Bronze|Bronze|Bronze|Bronzo|Bronce|Bronze|Brąz|Бронза|de bronze|Brons|Brons|Bronse|Bronz|Pronssi
METAL.COPPER.ADJECTIVE||Copper|Kupfer|en cuivre|di rame|De cobre|De cobre|Miedziany|(медь)|de cobre|Koperen|Koppar-|Kobber|Réz|Kuparinen
METAL.COPPER.NOUN||Copper|Kupfer|Cuivre|Rame|Cobre|Cobre|Miedź|Медь|de cobre|Koper|Koppar|Kobber|Réz|Kupari
METAL.GOLD.ADJECTIVE||Golden|Gold|en or|d'oro|De oro|De ouro|Złoty|(золото)|de ouro|Gouden|Guld-|Gull|Arany|Kultainen
METAL.GOLD.NOUN||Gold|Gold|Or|Oro|Oro|Ouro|Złoto|Золото|Ouro|Goud|Guld|Gull|Arany|Kulta
METAL.IRON.ADJECTIVE||Iron|Eisen|en fer|di ferro|De hierro|De ferro|Żelazny|(железо)|de ferro|Ijzeren|Järn-|Jern|Vas|Rautainen
METAL.IRON.NOUN||Iron|Eisen|Fer|Ferro|Hierro|Ferro|Żelazo|Железо|de ferro|Ijzer|Järn|Jern|Vas|Rauta
METAL.SILVER.NOUN||Silver|Silber|Argent|Argento|Plata|Prata|Srebro|Серебро (серебро)|Prata|||||
METAL.STEEL.ADJECTIVE||Steel|Stahl|en acier|d'acciaio|De acero|De aço|Stalowy|(сталь)|de aço|Stalen|Stål-|Stål|Acél|Teräksinen
METAL.STEEL.NOUN||Steel|Stahl|Acier|Acciaio|Acero|Aço|Stal|Сталь|de aço|Staal|Stål|Stål|Acél|Teräs
METAL.TIN.NOUN||Tin|Zinn|Étain|Alluminio|Hojalata|Latão|Cyna|Олово (олово)|Estanho|||||
|||||||||||||||
ORE.BITUMINOUS_COAL.ADJECTIVE|||||di carbone bituminoso|De carbón bituminoso|||||||||
ORE.BITUMINOUS_COAL.NOUN|these only require nouns|Bituminous coal|Steinkohle|Charbon bitumineux|Carbone bituminoso|Carbón bituminoso|Hematite|Węgiel bitumiczny|Каменный уголь|Carvão betuminoso|Bitumineuze steenkool|Stenkol|Steinkull|Bitumenes szén|Rasvahiili
ORE.CASSITERITE.ADJECTIVE|||||di cassiterite|De casiterita|||||||||
ORE.CASSITERITE.NOUN||Cassiterite|Kassiterit|Cassitérite|Cassiterite|Casiterita|Cassiterite|Kasyteryt|Касситерит|Cassiterita|Cassiteriet|Kassiterit|Kassiteritt|Kassziterit|Tinakivi
ORE.GALENA.ADJECTIVE|||||di galena|De galena|||||||||
ORE.GALENA.NOUN||Galena|Galenit|Galène|Galena|Galena|Galena|Galena|Галенит|Galena|Loodglans|Blyglans|Blyglans|Galenit|Lyijyhohde
ORE.HEMATITE.ADJECTIVE|||||di ematite|De hematita|||||||||
ORE.HEMATITE.NOUN|As nothing other than ore is made out of ore,|Hematite|Hämatit|Hématite|Ematite|Hematita|Hematite|Hematyt|Гематит|Hematita|Hematiet|Hematit|Hematitt|Hematit|Hematiitti
ORE.MALACHITE.ADJECTIVE|||||di malachite|De malaquita|||||||||
ORE.MALACHITE.NOUN||Malachite|Malachit|Malachite|Malachite|Malaquita|Malaquite|Malachit|Малахит|Malaquita|Malachiet|Malakit|Malakitt|Malachit|Malakiitti
ORE.NATIVE_COPPER.ADJECTIVE|||||di rame nativo|De cobre nativo|||||||||
ORE.NATIVE_COPPER.NOUN||Native copper|Reinkupfer|Cuivre|Rame nativo|Cobre nativo|Cobre nativo|Miedź rodzima|Самородная медь|Cobre nativo|Gedegen koper|Koppar|Naturkobber|Termésréz|Pelkkä kupari
ORE.NATIVE_GOLD.ADJECTIVE|||||d'oro nativo|De oro nativo|||||||||
ORE.NATIVE_GOLD.NOUN||Native gold|Reingold|Or|Oro nativo|Oro nativo|Ouro nativo|Złoto rodzime|Самородное золото|Ouro nativo|Gedegen goud|Guldklimp|Naturgull|Termésarany|Pelkkä kulta
ORE.NATIVE_SILVER.ADJECTIVE|||||d'argento nativo|De plata nativa|||||||||
ORE.NATIVE_SILVER.NOUN||Native silver|Reinsilber|Argent|Argento nativo|Plata nativa|Prata nativa|Srebro rodzime|Самородное серебро|Prata nativa|Gedegen zilver|Silver|Natursølv|Termésezüst|Pelkkä hopea
|||||||||||||||
OTHER.BRICK.NOUN||Brick|Backstein|Brique|Mattone|Ladrillo|Tijolo|Cegła|Кирпич|Tijolo|Baksteen|Tegelsten|Murstein|Tégla|Tiili
OTHER.CLAY_SOIL.NOUN||Clay soil|Lehmboden|Argile|Terreno argilloso|Arcilla|Solo argiloso|Glina|Глинозем|Solo de argila|Klei|Lerjord|Leire|Agyagos talaj|Savimaa
OTHER.GRASS.NOUN|||Gras|Herbe|Erba|Hierba|Erva|Trawa|Трава||Gras|Gräs|Gress||Ruoho
|||||||||||||||
PRODUCT.BARREL||Barrel|Fass|Tonneau|Barile|Barril|Barril|Beczka|Бочка|Barril|||||
PRODUCT.BARREL.HOOPS||Barrel hoops|Fassreifen|Cercles de tonneau|Cerchi da barile|Aros para barril|Aros de barril|Obręcze beczek|Обручи бочки|Arcos de barril|||||
PRODUCT.BARREL.STAVES||Barrel staves|Fassdauben|Lattes de tonneau|Assi da barile|Duelas para barril|Pranchas de barril|Deszczułki beczek|Бочарные клепки|Aduelas de barril|||||
PRODUCT.BUCKET||Bucket|Eimer|Seau|Secchio|Cubo|Balde|Wiadro|Ведро|Balde|||||
PRODUCT.CAULDRON|A large metal pot for cooking (common with Halloween)|Cauldron|Kessel|Chaudron|Calderone|Caldero|Caldeirão|Kocioł|Котел|Caldeirão|||||
PRODUCT.BOWL|A bowl for eating from|Bowl|Schale|Bol|Ciotola|Cuenco|Tijela|Miska|Миска|Tigela|||||
PRODUCT.BOWL.DESCRIPTION|E.g. “Bowl of vegetable soup”|Bowl of {{cooking.soup.description}}|Schale mit {{cooking.soup.description}}|Bol de {{cooking.soup.description}}|Ciotola di {{cooking.soup.description}}|Cuenco de {{cooking.soup.description}}|Tijela de {{cooking.soup.description}}|Miska {{cooking.soup.description}}|Миска с супом ({{cooking.soup.description}})|Tigela de {{cooking.soup.description}}|||||
|||||||||||||||
PROFESSION.BAKER.FEMALE_NOUN||Baker|Bäckerin|Boulangère|Fornaia|Panadera|Padeira|Piekarka|Пекарь|Padeira|Bakker|Bagare|Baker|Pék|Leipuri
PROFESSION.BAKER.MALE_NOUN||Baker|Bäcker|Boulanger|Fornaio|Panadero|Padeiro|Piekarz|Пекарь|Padeiro|Bakker|Bagare|Baker|Pék|Leipuri
PROFESSION.BAKER.VERB||Baking|Backt|Fabriquant|Sta cuocendo|Horneando|Cozer|Piec|Выпекание|Assando|Bakken|Bakning|Baker|Sütni|Leivonta
PROFESSION.CHEF.FEMALE_NOUN||Chef|Köchin|Cuisinière|Chef|Cocinera|Chef|Kucharz|Повариха|Chef|||||
PROFESSION.CHEF.MALE_NOUN||Chef|Koch|Cuisinier|Chef|Cocinero|Chef|Kucharz|Повар|Chef|||||
PROFESSION.CHEF.VERB||Cooking|Kocht|Cuisinant|Sta cucinando|Cocinando|A cozinhar|Gotować|Приготовление еды|Cozinhando|||||
PROFESSION.BLACKSMITH.FEMALE_NOUN||Blacksmith|Schmiedin|Forgeronne|Fabbro|Herrera|Ferreira|Kowalka|Кузнец|Ferreira|Smid|Smed|Smed|Kovács|Seppä
PROFESSION.BLACKSMITH.MALE_NOUN||Blacksmith|Schmied|Forgeron|Fabbro|Herrero|Ferreiro|Kowal|Кузнец|Ferreiro|Smid|Smed|Smed|Kovács|Seppä
PROFESSION.BLACKSMITH.VERB||Forging|Schmiedet|Forgeant|Sta forgiando|Forjando|Forjar|Wykuwać|Ковка|Forjando|Smeden|Smida|Smir|Kovácsolni|Taonta
PROFESSION.CARPENTER.FEMALE_NOUN||Carpenter|Schreinerin|Menuisière|Artigiana|Carpintera|Carpinteira|Stolarka|Плотник|Carpinteira|Timmervrouw|Snickare|Snekker|Ács|Puuseppä
PROFESSION.CARPENTER.MALE_NOUN||Carpenter|Schreiner|Menuisier|Artigiano|Carpintero|Carpinteiro|Stolarz|Плотник|Carpinteiro|Timmerman|Snickare|Snekker|Ács|Puuseppä
PROFESSION.CARPENTER.VERB||Crafting|Schreinert|Élaborant|Sta producendo|Fabricando|Trabalhar em madeira|Tworzyć|Изготовление|Carpintejando|Vervaardigen|Snickra|Bygger|Ácsolni|Valmistus
PROFESSION.FARMER.FEMALE_NOUN||Farmer|Bäuerin|Fermière|Coltivatrice|Granjera|Agricultora|Farmerka|Фермер|Fazendeira|Boerin|Lantbrukare|Bonde|Földműves|Maanviljelijä
PROFESSION.FARMER.MALE_NOUN||Farmer|Bauer|Fermier|Coltivatore|Granjero|Agricultor|Farmer|Фермер|Fazendeiro|Boer|Lantbrukare|Bonde|Földműves|Maanviljelijä
PROFESSION.FARMER.VERB||Farming|Erntet|Cultivant|Sta coltivando|Cosechando|Cultivar|Uprawiać|Выращивание|Cultivando|Boeren|Odla|Dyrker|Földet művelni|Maanviljely
PROFESSION.FISHER.FEMALE_NOUN|This could be “fisherman” and “fisherwoman”|Fisher|Fischerin|Pêcheuse|Pescatrice|Pescadora|Pescadora|Rybaczka|Рыбачка|Pescadora|Visser|Fiskare|Fisker|Halász|Kalastaja
PROFESSION.FISHER.MALE_NOUN||Fisher|Fischer|Pêcheur|Pescatore|Pescador|Pescador|Rybak|Рыбак|Pescador|Visser|Fiskare|Fisker|Halász|Kalastaja
PROFESSION.FISHER.VERB||Fishing|Fischt|Pêchant|Sta pescando|Pescando|Pescar|Łowić|Ловля рыбы|Pescando|Vissen|Fiska|Fisker|Halászni|Kalastus
PROFESSION.HUNTER.FEMALE_NOUN|This could be “huntsman” and “huntress”|Hunter|Jägerin|Chasseuse|Cacciatrice|Cazadora|Caçadora|Myśliwa|Охотница|Caçadora|Jager|Jägare|Jeger|Vadász|Metsästäjä
